title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Optical Drive Type,tech_Rear Webcam Resolution,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Wattage,tech_Lithium Battery Weight,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_OS,tech_RAM,tech_Wireless communication technologies,tech_Connectivity technologies,tech_GPS,tech_Special features,tech_Display technology,tech_Other display features,tech_Other camera features,tech_Form factor,tech_Battery Power Rating,tech_Whats in the box,tech_Item part number,tech_Number of Ethernet Ports,tech_Notebook Display Technology,tech_Number of Microphone Ports
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics), Black","19,000",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0CL49Y2QK/ref=sr_1_849?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-849&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,Lenovo ThinkPad,black,Laptop,,,14 Inches,1366 x 768,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),Lenovo ThinkPad,Intel,Intel Core i5,2.3 GHz,1,8 GB,DDR3,,16 GB,,256 GB,SSD,Headphones,,,Intel,Integrated,Shared,8 GB,,"Bluetooth, Wi-Fi",Bluetooth,,,1,,,,,Windows,,,Yes,54 Watt Hours,4,"Laptop, Power Cord, Battery",,1 kg 700 g,B0CL49Y2QK,"3.7
313 ratings
3.7 out of 5 stars","#34,049 in Computers & Accessories (See Top 100 in Computers & Accessories)
#44 in Sankranti / Pongal Store
#56 in Christmas with Amazon Renewed
#969 in Traditional Laptops",16-Oct-23,,,,1.00 count,,48.79 x 41.7 x 6.2 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 3511 Laptop, Intel Core i3-1115G4, 8GB DDR4, 1TB HDD + 256GB SSD, 15.6"" (39.62Cms) FHD WVA AG, Win 11 + MSO'21, Platinum Silver (D560841WIN9S, 1.8Kgs)","40,899",https://www.amazon.in/Dell-Inspiron-3511-i3-1115G4-D560841WIN9S/dp/B0BPC4ZFQ4/ref=sr_1_841?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-841&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,Inspiron 3511,Inspiron 3511,Platinum Silver,Laptop,19 Millimeters,35.8 Centimeters,15.6 Inches,1920 x 1080 pixels,1024 x 768 Pixels,23.5 x 35.8 x 1.9 cm; 1.81 kg,1 Lithium Ion batteries required. (included),dell insprion 3511,Intel,Core i3,1.7 GHz,1,8 GB,DDR4,,16 GB,,1256 GB,SSHD,Speakers,,Intel UHD Graphics,Intel,Integrated,Shared,,Integrated,Wi-Fi,,1,2,,,CD-R,0.92 MP,,Windows 11,,3 Hours,Yes,41 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",,1 kg 810 g,B0BPC4ZFQ4,"4.2
11 ratings
4.2 out of 5 stars","#39,376 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,123 in Traditional Laptops",07-Dec-22,Dell India Pvt Ltd,Dell India Pvt Ltd,23.5 x 35.8 x 1.9 Centimeters,1 Count,Laptop,,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo Thinkpad Laptop T460 Intel Core i5 - 6300u Processor 16 GB Ram & 512 GB SSD, 14 Inches Notebook Computer","19,900",https://www.amazon.in/Renewed-Lenovo-Thinkpad-Laptop-Intel/dp/B0B3RZSC62/ref=sr_1_843?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-843&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,T460-cr,black,Notebook,2.5 Centimeters,34 Centimeters,14 Inches,1366x768,1366 x 768 Pixels,23.5 x 34 x 2.5 cm; 1.5 kg,,,Intel,Core i5 Family,2.4 GHz,1,16 GB,DDR4,,16 GB,,512 GB,SSD,Headphones,,,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,,3,,,No Optical Drive,,Battery Powered,Windows 10 Pro,,,No,,,"Laptop, Charger",,1 kg 500 g,B0B3RZSC62,"3.1
6 ratings
3.1 out of 5 stars","#39,302 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,118 in Traditional Laptops",10-Jun-22,,,23.5 x 34 x 2.5 Centimeters,1.00 count,laptop,,,5400 RPM,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T460-6th-i5-16-512-cr,,,
"Dell Gaming G15-5530 Laptop, Intel 13th Gen i5-13450HX Processor, 8GB DDR5 + 512GB SSD, NVIDIA RTX 3050 6 GB GDDR6, 15.6"" (39.62cm) FHD Narrow 120Hz, Orange Backlit KB, Dark Shadow Gray, 2.65 Kg","69,490",https://www.amazon.in/Dell-G15-5530-i5-13450HX-Processor-39-62cm/dp/B0D836N8D5/ref=sr_1_844?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-844&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Dell,Dell India Pvt. Ltd.,G Series,Dark Shadow Gray with Black thermal shelf,Laptop,,,16 Inches,1920 x 1080 pixel,,,1 Lithium Ion batteries required. (included),,NVIDIA,Core i5,4.6 GHz,1,8 GB,DDR5,,32 GB,,,SSD,Headphones,,,NVIDIA,Dedicated,DDR5 SDRAM,6 GB,PCI Express,Wi-Fi,,1,4,,,,,,Windows 11 Home,,,Yes,56 Watt Hours,3,Laptop | Adapter | User Manual,China,2 kg 650 g,B0D836N8D5,,"#36,366 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,043 in Traditional Laptops",26-Jun-24,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 count,Laptop,58.1 x 35.9 x 7.8 cm; 2.65 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Nitro V 16 AI-Powered Gaming Laptop AMD Ryzen 7-8845HS Processor with RTX 4060 8GB Graphics (16GB DDR5/1TB SSD/Win11 Home/WiFi6/165Hz/57Whr) ANV16-41, 16"" WUXGA IPS Display, Obsidian black, 2.5KG","1,09,990",https://www.amazon.in/Acer-AI-Powered-7-8845HS-Processor-ANV16-41/dp/B0BBFGLQJ9/ref=sr_1_845?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-845&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Acer,Acer,Nitro V 16,Black,Laptop,,,16 Inches,1920 x 1200 pixel,1920 x 1200 Pixels,,1 Lithium Ion batteries required. (included),ANV16-41,AMD,Ryzen 7,3.8 GHz,1,16,DDR5,DDR5 RAM,32 GB,,,SSD,Speakers,,NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,GDDR6,8 GB,AGP,Wi-Fi,,,3,,240 Volts,,,,Windows 11 Home,,,Yes,57 Watt Hours,4,"Battery, Adaptor, Laptop",China,2 kg 500 g,B0BBFGLQJ9,,"#42,351 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,232 in Traditional Laptops",01-Jul-24,"Compal Electronics Pvt Ltd, No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,Laptops,55.1 x 41.79 x 9.7 cm; 2.5 kg,Solid State,,,,,,,,,,66.6 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 250 G9 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm) FHD/Silver/1.57 kg/MS Office 2021","52,260",https://www.amazon.in/HP-Laptop-250-Intel-1235U/dp/B0DJCTS4N4/ref=sr_1_847?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-847&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,HP,HP,250,Silver,,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,,250,Intel,Core i5-1235U,4.4 GHz,10,,DDR4,DDR4 SDRAM,16 GB,4.4 GHz,512 GB,SSD,"Headphones, Speakers",Stereo speakers,Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,2,1,1,,,,,Windows 11 Pro,,,,,,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 500 g,B0DJCTS4N4,"3.0
1 rating
3.0 out of 5 stars","#48,183 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,424 in Traditional Laptops",02-Oct-24,HP INDIA PRIVATE LIMITED,HP INDIA PRIVATE LIMITED,,1 Count,BUSINESS LAPTOP,35.8 x 24.2 x 1.9 cm; 1.5 kg,Solid State,7200 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor - (8 GB/ 512 GB SSD/Windows 11 Home/ 1.7kg/ Black/Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display,"31,999",https://www.amazon.in/Acer-Extensa-Lightweight-Laptop-Processor/dp/B0B5ZN13GV/ref=sr_1_848?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-848&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Acer,Acer,Extensa,Black,Laptop,20 Millimeters,36.3 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,23.8 x 36.3 x 2 cm; 1.7 kg,1 Lithium Ion batteries required. (included),EX 215-54,Intel,Core i3,1.7 GHz,1,8 GB,DDR4,DDR4 SDRAM,12 GB,,512 GB,SSD,Speakers,"Two built-in stereo speakers,Two built-in digital microphones",Intel UHD Graphics,Intel,Integrated,DRAM,8 GB,Integrated,Wi-Fi,802.11a/b/g/n/ac,1,,1,,,,Battery Powered,Windows 11 Home,,8 Hours,Yes,36 Watt Hours,2,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",India,1 kg 700 g,B0B5ZN13GV,"4.0
326 ratings
4.0 out of 5 stars","#35,780 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,027 in Traditional Laptops",07-Jul-22,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",23.8 x 36.3 x 2 Centimeters,1 Count,Laptops,,,,,,2,,,,,45 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OMEN, 13th Gen Intel Core i9-13900HX, 8GB NVIDIA RTX 4060, 16GB DDR5, 1TB SSD, (Win11, Office21, Black, 2.35kg), 165Hz, 7MS, IPS, 16.1-inch(40.9cm) Gaming Laptop, Tempest Cooling, RGB KB, wf0148TX","1,45,990",https://www.amazon.in/HP-i9-13900HX-16-1-inch-Backlit-wf0148TX/dp/B0D2DDJ1PN/ref=sr_1_849?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-849&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,HP,HP,16-wf0148tx,Black,Laptop,59.5 Centimeters,36.4 Centimeters,40.9 Centimetres,1920 x 1080 pixel,,6.9 x 36.4 x 59.5 cm; 4.35 kg,1 Lithium Ion batteries required. (included),HP OMEN,Intel,Intel Core i9,5.4 GHz,1,16,DDR5,,16 GB,,1 TB,SSD,Headphones,,NVIDIA GeForce RTX 4060,Intel,Dedicated,GDDR6,8 GB,Integrated,Wi-Fi,Bluetooth,,,1,11.25 Volts,,,,Windows 11 Home,,6 Hours,Yes,83 Watt Hours,6,"Laptop, Charger, User Manual",China,4 kg 350 g,B0D2DDJ1PN,"2.5
3 ratings
2.5 out of 5 stars","#36,310 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,042 in Traditional Laptops",22-Apr-24,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,6.9 x 36.4 x 59.5 Centimeters,1 Count,Laptop,,Solid State,,,,,,,,,83 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad 7th Gen Intel i5,8 GB,1TB HDD + 256 GB SSD,14"" (35.6 cm) HD Touchscreen Laptop (Windows 11/MS Office/WiFi/Webcam/Intel Graphics/Thin & Light)","22,499",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Touchscreen-Graphics/dp/B0D3VF7QXP/ref=sr_1_850?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-850&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,Lenovo,Lenovo,Lenovo ThinkPad,,Laptop,,,14 Inches,1366 x 768,1366 x 768 Pixels,,,,Intel,Intel Core i5,2.5 GHz,1,4,DDR4,DDR4 SDRAM,16 GB,,256 GB,SSD,Headphones,,,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",,,,1,230 Volts,,,,Windows,,,,,,"Laptop, Power Cord, Battery",India,1 kg 700 g,B0D3VF7QXP,,"#38,499 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,101 in Traditional Laptops",10-May-24,,,,1.00 count,,45 x 35 x 15 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2023 MacBook Pro (16-inch, Apple M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Space Black","3,69,900",https://www.amazon.in/Apple-MacBook-16-inch-16%E2%80%91core-40%E2%80%91core/dp/B0CM5SZ7CP/ref=sr_1_851?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-851&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,,Apple,,,,,,,,,11.6 x 33.3 x 44.7 cm; 2.16 kg,,MUW63HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited No.24, 19th floor, Concorde Tower C, UB City, Vittal Mallya Road, Bangalore - 560 001",11.6 x 33.3 x 44.7 Centimeters,3 Count,MacBook Pro,,,,,,,B0CM5SZ7CP,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited No.24, 19th floor, Concorde Tower C, UB City, Vittal Mallya Road, Bangalore - 560 001",2 kg 160 g,"USB-C to MagSafe 3 Cable (2 m), 16-inch MacBook Pro 1N,, 140W USB-C Power Adapter 1N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Elitebook Laptop 840G5 Intel Core i5 - 8350u Processor 8th Gen, 32 GB Ram & 1TB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.54KG) Notebook Computer","31,786",https://www.amazon.in/Renewed-HP-Elitebook-Laptop-840G5/dp/B0BFRLGR78/ref=sr_1_852?dib=eyJ2IjoiMSJ9.1L1j673is1K56PQwYTkhR9d2aFIHsSiQWqF50W7SbEglK6bm4d2-01YzHLIgn-SeSQ3PgDfpfRVEcVqV6bj0xnII5cRL5c2fQzYGUfz7VoNgrlH7h45RuvmPl8tVB2uZ0LvEPq1emteUZ-hbMjyGt52Rr6NOlMFAyOmH3a-f64xPHRjrfIq1Y4fpeWZ-UBVWNpkL88M86GS0dhyMc8ZSiCkQzKygFofrRnHNxzuLeo45idXx9kk3-A4YUNdcTLfJUNz404VvZ4I-qa5Z2qOTGxIyzLmahGsaFgzPAxr1goHPC8tvZI6KpjZCVQLuV-ZsaEmpa_y_Z5rh7hdz32r9JuMsaKZTHMopmrb9AO_qycA.Y_kA-NBrqPovQUvKP5RafYd7sXl5N5_PApuT-Ut1Tx4&dib_tag=se&qid=1737640906&s=computers&sr=1-852&xpid=7kLlIrVHD4MiK,23-01-2025 20:08,HP,HP,840G5-cr,silver,Notebook,,,14.1 Inches,1366x768,1920 x 1080 Pixels,,,840G5-i5-32-1TB-cr,Intel,Core i5 8250U,1.7 GHz,1,32 GB,DDR4,DDR4 SDRAM,32 GB,,1 TB,SSD,Headphones,Thin built-in speakers,,Intel,Integrated,DDR SDRAM,32 GB,Integrated,Wi-Fi,,,2,,,No Optical Drive,,Battery Powered,Windows 10 Pro,,,No,,,"Laptop, Charger",India,1 kg 540 g,B0BFRLGR78,"3.0
2 ratings
3.0 out of 5 stars","#48,439 in Computers & Accessories (See Top 100 in Computers & Accessories)
#169 in Renewed Black Friday and Cyber Monday Sale
#1,436 in Traditional Laptops",19-Sep-22,,,,1.00 count,notebook,20 x 20 x 10 cm; 1.54 kg,Serial ATA,5400 RPM,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
