title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_RAM Size,tech_Hard Drive Interface,tech_Speaker Description,tech_Graphics Coprocessor,tech_Number of HDMI Ports,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Audio Details,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Package Dimensions,tech_Optical Drive Type,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Compatible Devices,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Aspect Ratio,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Wireless Type,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Memory Clock Speed,tech_Number of Lithium Metal Cells,tech_Front Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Number of Microphone Ports,tech_Battery Description,tech_Number of Audio-out Ports
"MSI Thin A15, Ryzen 7 7735HS, 40CM FHD 144Hz Gaming Laptop(16GB/1 TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 8GB/Cosmos Gray/1.86Kg), B7VF-064IN","92,990",https://www.amazon.in/MSI-7735Hs-Windows-Geforce-B7Vf-064In/dp/B0CV5D5NWS/ref=sr_1_992?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-992&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,MSI,MSI,Thin A15,Cosmos Gray,Laptop,46.6 Centimeters,32.3 Centimeters,40 Centimetres,1920 x 1080 pixel,8.7 x 32.3 x 46.6 cm; 3.39 kg,1 Lithium Polymer batteries required. (included),,AMD,Ryzen 7,3.2 GHz,1,DDR5,64 GB,,SSD,NVIDIA,Dedicated,GDDR6,8 GB,PCI Express,Wi-Fi,11.1 Volts,Windows 11 Home,Yes,,3,Laptop,,3 kg 390 g,B0CV5D5NWS,"4.5
2 ratings
4.5 out of 5 stars","#58,663 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,787 in Traditional Laptops",7 February 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",8.7 x 32.3 x 46.6 Centimeters,1 Count,Laptop,1920 x 1080,16,,,NVIDIA GeForce RTX 4060,,,,,Headphones,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming A15, 15.6"" (39.62 cms) FHD 144Hz, AMD Ryzen 7 4800H, 4GB GeForce RTX 3050 Graphics, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 kg), FA506ICB-HN075W","89,190",https://www.amazon.in/ASUS-GeForce-RTX-3050-Graphics-Battery-FA506ICB-HN075W/dp/B0B56ZQ95M/ref=sr_1_993?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-993&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,ASUS,ASUS,ASUS TUF Gaming A15,Graphite Black,Gaming Laptop,2.28 Centimeters,35.9 Centimeters,15.6 Inches,1920 x 1080 pixels,25.6 x 35.9 x 2.28 cm; 2.3 kg,1 Lithium Polymer batteries required. (included),FA506ICB-HN075W,AMD,Ryzen 7,4.2 GHz,8,DDR4,32 GB,512 GB,SSD,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,Bluetooth,20 Volts,Windows 11 Home,Yes,,4,"Laptop, adapter, manuals",India,2 kg 300 g,B0B56ZQ95M,"4.2
290 ratings
4.2 out of 5 stars","#41,473 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,186 in Traditional Laptops",26 June 2022,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",25.6 x 35.9 x 2.3 Centimeters,1 count,Gaming Laptop,1920 X 1080 (FHD) Pixels,16 GB,PCIE x 2,"2-speaker system, AI noise-canceling technology, DTS software",NVIDIA GeForce RTX 3050,1,180 Watts,8 Hours,SODIMM,"Headphones, Speakers",,4,Battery Powered,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,"Bluetooth, 802.11ax",,,,,,,,,PC,,3200 MHz,,,,,,,,
"(Refurbished) Lenovo Legion 5 Pro AMD Ryzen 7 5800H 16"" (40.64cm) WQXGA-IPS 165Hz 500Nits Gaming Laptop (16GB/512GB SSD/Win 11/Office 2021/NVIDIA RTX 3060 6GB/Alexa/3 Month Game Pass/Storm Grey/2.45Kg), 82JQ010EIN","87,541",https://www.amazon.in/Refurbished-Lenovo-40-64cm-WQXGA-IPS-82JQ010EIN/dp/B0D52KCWSB/ref=sr_1_994?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-994&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Legion 5 Pro 16ACH6H,Storm Grey,Gaming Laptop,56.8 Centimeters,8.9 Centimeters,16 Inches,2560 x 1600 pixel,56.8 x 8.9 x 56.8 cm; 2.45 kg,,82JQ010EIN-cr,AMD,Ryzen 7,3.2 GHz,8,DDR5,32 GB,512 GB,SSD,NVIDIA,Dedicated,Shared,6 GB,,Wi-Fi,,Windows 11 Home,Yes,80 Watt Hours,4,Laptop,,2 kg 450 g,B0D52KCWSB,,"#52,891 in Computers & Accessories (See Top 100 in Computers & Accessories)
#75 in Best Offers from Renewed
#118 in Refurbished Deals
#1,586 in Traditional Laptops",23 May 2024,,,56.8 x 8.9 x 56.8 Centimeters,1 Piece,Laptop,2560 x 1600 Pixels,16 GB,PCIE x 4,,NVIDIA GeForce RTX 3060,,,6 Hours,DDR4 SDRAM,Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion 15, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 12GB DDR4, 512GB NVMe SSD, Intel UHD Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.74 kg),eg2124TU","41,990",https://www.amazon.in/HP-Pavilion-i3-1215U-15-6-inch-Graphics/dp/B0CQPD2F3J/ref=sr_1_985?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-985&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,15-eg2124TU,Silver,Laptop,,,39.6 Centimetres,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),15-eg2124TU,Intel,Intel Core i3,4.4 GHz,1,DDR4,12 GB,512 GB,SSD,Intel,Integrated,VRAM,,Integrated,Bluetooth,37.2 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",,1 kg 740 g,B0CQPD2F3J,"3.9
29 ratings
3.9 out of 5 stars","#58,632 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,786 in Traditional Laptops",12 April 2023,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,1 Piece,Laptop,1920 x 1080 Pixels,12 GB,Solid State,Audio by B&O and Dual speakers,Intel UHD Graphics,1,,7 Hours,DDR4 SDRAM,"Headphones, Speakers",,2,,46 x 30.3 x 6.9 cm; 1.74 kg,NO ODD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,,4.4 GHz,,,,,,,,
"MSI Modern 15, Intel 12Th Gen I7-1255U, 40Cm FHD Thin & Light Laptop (16GB/1Tb NVME SSD/Windows 11 Home/Iris Xe Graphics/Classic Black/1.7Kg), B12MO-815IN","50,990",https://www.amazon.in/i7-1255U-Windows-Graphics-Classic-B12MO-815IN/dp/B0D1VKJBP3/ref=sr_1_986?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-986&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,MSI,MSI,Modern 15,Classic Black,Laptop,47 Centimeters,30.7 Centimeters,40 Centimetres,1920 x 1080 pixel,8 x 30.7 x 47 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i7,1.2 GHz,1,DDR4,16 GB,1 TB,SSD,Intel,Integrated,Shared,,Integrated,Wi-Fi,9.5 Volts,Windows 11 Home,Yes,39.3 Watt Hours,3,"User Guide, Laptop, Power Adapter",China,1 kg 700 g,B0D1VKJBP3,"3.3
3 ratings
3.3 out of 5 stars","#56,019 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,681 in Traditional Laptops",16 April 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",8 x 30.7 x 47 Centimeters,1 Count,Laptop,,16,,,Intel Iris Xe Graphics,,,,,"Headphones, Speakers",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15 AI Laptop, Intel Core Ultra 5 125H, 12 Tops, 8GB DDR5, 512GB SSD (Win11, Office21, Grey, 1.65 kg) Anti-Glare,15.6-inch(39.6cm) FHD Laptop, Intel Arc Graphics, Backlit KB, FHD Camera, fd1098TU","63,990",https://www.amazon.in/HP-Enhanced-15-6-inch-Graphics-fd1098TU/dp/B0D26284ND/ref=sr_1_988?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-988&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,HP Laptop,Core Ultra 5 + 8GB,Laptop,52.1 Centimeters,31.5 Centimeters,39.6 Centimetres,1920 x 1080 pixel,6.7 x 31.5 x 52.1 cm; 2.41 kg,1 Lithium Polymer batteries required. (included),15-fd1098TU,Intel,Intel Core i5,4.5 GHz,1,DDR5,8 GB,512 GB,SSD,Intel,Integrated,DDR5 SDRAM,,Integrated,"Bluetooth, Wi-Fi",41 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 410 g,B0D26284ND,"5.0
1 rating
5.0 out of 5 stars","#60,143 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,835 in Traditional Laptops",19 April 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,6.7 x 31.5 x 52.1 Centimeters,1 Count,Laptop,,8 GB,USB-C,,,1,,6 Hours,,Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude 5310 Laptop - Intel Core i7 10th Gen - i7-10610U @ 1.8GHz - Quad Core- 512GB SSD - 16GB RAM - 13.3â€ Touch Screen- FHD- 1920x1080 - Windows 10 Pro,"38,490",https://www.amazon.in/Refurbished-Dell-Latitude-5310-Laptop/dp/B0CVRWBYGL/ref=sr_1_989?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-989&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,Dell,DELL Latitude,,Laptop,,,11.6 Inches,1920 x 1080 pixel,,,,Intel,Core i7 3610QM,1.6 GHz,1,DDR3,16 GB,512 GB,SSD,Intel,Integrated,Shared,16.00,Integrated,"Bluetooth, Wi-Fi",28 Volts,Windows,,,,"Laptop, Power Cord, Battery",,2 kg 200 g,B0CVRWBYGL,,"#59,242 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,805 in Traditional Laptops",16 February 2024,Renewed Seller,,,1.00 count,,1920 x 1080 Pixels,,,,,1,,,,,1,1,,49 x 32.1 x 8 cm; 2.2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200 MHz,,,,,,,,
"Lenovo E41-55 AMD 14-inch HD 220 Nits Antiglare Thin and Light Laptop (AMD Athlon A3050U/4GB RAM/256GB SSD/Windows 10 Home/Integrated AMD Graphics/Grey/1 Year Onsite/1.59 kg), 82FJ00BLIH","29,950",https://www.amazon.in/Lenovo-Antiglare-Integrated-Graphics-82FJ00BLIH/dp/B0BPQRH9W5/ref=sr_1_990?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-990&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Lenovo E41-55,Grey,Laptop,49.1 Centimeters,31.5 Centimeters,14 Inches,1366 x 768,7.7 x 31.5 x 49.1 cm; 2.26 kg,1 Lithium Polymer batteries required. (included),lenovo e41-55,AMD,Athlon Silver 3050U,2.3 GHz,1,DDR4,32 GB,256 GB,SSD,AMD,Integrated,Shared,4 GB,Integrated,Wi-Fi,,Windows 10 Home,Yes,45 Watt Hours,3,"Laptop, User manual, Adapter",China,2 kg 260 g,B0BPQRH9W5,"3.4
74 ratings
3.4 out of 5 stars","#41,814 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,204 in Traditional Laptops",11 December 2022,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",7.7 x 31.5 x 49.1 Centimeters,1 Case,Laptop,1366 x 768 Pixels,4 GB,Solid State,,,,45 Watts,11 Hours,,Speakers,1,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,,2400 MHz,,,,,,,,
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.8 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)","14,800",https://www.amazon.in/Renewed-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0B6GF24LR/ref=sr_1_991?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-991&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Lenovo,Lenovo,Lenovo ThinkPad L450-cr,black,Laptop,1 Inches,9 Inches,12.5 Inches,1366 x 768,33.02 x 22.86 x 2.54 cm; 1.5 kg,1 Lithium Ion batteries required. (included),Lenovo ThinkPad-cr,Intel,Intel Core i5,2.2 GHz,1,DDR3L,8 GB,256 GB,SSD,Intel,Integrated,DDR3 SDRAM,,Integrated,"Bluetooth, Wi-Fi",,Windows 10 Pro,Yes,55 Watt Hours,4,"Laptop,Battery,Power Cord",,1 kg 500 g,B0B6GF24LR,"3.3
77 ratings
3.3 out of 5 stars","#51,261 in Computers & Accessories (See Top 100 in Computers & Accessories)
#527 in Valentine's Day (Amazon Renewed)
#1,527 in Traditional Laptops",13 July 2022,,,33 x 22.9 x 2.5 Centimeters,1.00 count,Business Laptop,HD (1366 X 768) Pixels,8 GB,Solid State,Integrated high quality speakers,Intel HD 5500,,,1.5 Hours,DDR3 SDRAM,Headphones,,2,ac,,No Optical Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,Windows,50 Grams,,,,,,1,,,1
Acer Aspire 3 Thin and Light Laptop Intel Core i5 12th Generation (8GB/512 GB SSD/Windows 11 Home/MS Office/1.7 Kg/Silver) A315-59 with 15.6-inch (39.6 cms) Full HD Display,"40,100",https://www.amazon.in/Acer-Generation-Windows-A315-59-15-6-inch/dp/B0B42RSQWR/ref=sr_1_992?dib=eyJ2IjoiMSJ9.5nXs_o95DdhTBqpZDOwOWDP6o1ZtMePwtCpexWo2L3uHJQ7OKiYUTez4uZGHsX_hdxn9GQiZ_3yKqeJHKLMKJjYTzI_yGxJUWug7HBaenYT-0PCDRvcM0mDo-X7MfkNIUjWUzFsoUr_dZ9bcWoUco1LSx6qYakRmYZdflpMrdhlzE-rJm7ikTikDTWN9JahvbliaBaFNQhiiCtSkdDMcdK0AqSBGcdfKUoTsRVd30poYuxySiFQRSIten_NCiF88GCBx-qGtQUZ7mBOIYo92TcVdTzvDmXnYPyN_RJlYjvDtf9bSKvfyV9UE5TcNDh8aRV8W2onr1X8NiP4UMcCDI1QzYTRw9mD39BrWLN_Mqyo.nwNfhH1LJ-Q2UIglwUxOyy_wi_atMlioM2sjlMCeccw&dib_tag=se&qid=1737655731&s=computers&sr=1-992&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Acer,Acer,A315-59,Silver,Netbook,20 Millimeters,36.3 Centimeters,15.6 Inches,1920 x 1080 pixel,24.1 x 36.3 x 2 cm; 1.7 kg,1 Lithium Ion batteries required. (included),A315-59,Intel,Core i5,3.3 GHz,1,DDR4,32 GB,512 GB,SSD,Intel,Integrated,DRAM,8 GB,Integrated,Bluetooth,,Windows 11 Home,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 700 g,B0B42RSQWR,"3.7
25 ratings
3.7 out of 5 stars","#49,966 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,473 in Traditional Laptops",14 June 2022,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",24.1 x 36.3 x 2 Centimeters,1 Count,Laptops,1920 X 1080 (FHD) Pixels,8 GB,,"Two built-in stereo speakers,Two built-in digital microphones",Intel Iris Xe Graphics,,45 Watts,,DDR4 SDRAM,Speakers,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11a/b/g/n/ac,,,,,,,,,,,,3,720 Pixels,,,,,,
