title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,info_Net Quantity,tech_Colour,tech_Package Dimensions,tech_Batteries,tech_Number of HDMI Ports,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,info_Packer,info_Importer,info_Generic Name,tech_Graphics Coprocessor,tech_Voltage,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Wireless Type,tech_Lithium Battery Weight,tech_Speaker Description,tech_Number of Ethernet Ports,tech_Rear Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Lithium Metal Cells,tech_Number of Audio-out Ports,tech_Number of Microphone Ports,tech_Item part number,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Controller Type,tech_Screen Size,tech_Hardware Interface,tech_Item dimensions L x W x H,tech_Number of Batteries,tech_Display Type,tech_Material
"HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Silver, 2.29 kg), fa0187TX","84,490",https://www.amazon.in/HP-I7-12650H-Geforce-Technology-15-Fa0187Tx/dp/B0CR6M3RJ5/ref=sr_1_924?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-924&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,15-fa0187TX,Laptop,,,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080,,15-fa0187TX,Intel,Core i7,4.7 GHz,1,16,DDR4,16 GB,1 TB,SSD,7200 RPM,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,"Bluetooth, Wi-Fi",,,,,,Windows 11 Home,Yes,"laptop, charger",,2 kg 370 g,B0CR6M3RJ5,"4.5
3 ratings
4.5 out of 5 stars","#43,838 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,277 in Traditional Laptops",29 December 2023,,1 Count,Silver,52 x 30.6 x 6.8 cm; 2.37 kg,1 Lithium Polymer batteries required. (included),1,70 Watt Hours,4,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",Laptop,NVIDIA GeForce RTX 3050,11.25 Volts,,10 Hours,DDR4 SDRAM,4.7 GHz,Solid State,,280 Grams,Audio by B&O Dual speakers,1,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 7490 Intel Core i7 Mobile-8th Gen Processor , 16 GB Ram & 2TB SSD, 14 Inches FHD 1080p 1.4KG Light Weight Notebook Computer","31,990",https://www.amazon.in/Refurbished-Dell-Latitude-Mobile-8th-Processor/dp/B0CZD6TNZ7/ref=sr_1_925?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-925&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,7490-i7,Laptop,,,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,7490-i7-16-2TB-cr,Intel,Core i7-8650U,1.9 GHz,1,16,DDR4,16 GB,2 TB,SSD,,Headphones,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,3,No Optical Drive,,,Windows 10 Pro,No,"Laptop, Battery, Charger with Power Cable",,1 kg 400 g,B0CZD6TNZ7,,"#50,410 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,491 in Traditional Laptops",29 March 2024,,1.00 count,silver,20 x 20 x 10 cm; 1.4 kg,,1,,,Renewed Seller,,,,,,,DDR4 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,
"(Renewed) Dell Latitude Laptop E7480 Intel Core i5 Windows 10 Pro - 6200u Processor 6th Gen, 16 GB Ram & 256 GB SSD, 14.1 inches - Ultra Slim & Feather Light 1.37KG, Notebook Computer","20,175",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-E7480/dp/B09KH8LMXB/ref=sr_1_926?dib=eyJ2IjoiMSJ9.EZB5Yk18esqnD0Dg9A18-KCSMiIBrZ2-XrGAmI_g9l_0snDWX6s5LU0ZIbA4ynUnRBsNno1V0xUVGWZgtKOK95fO-HyI7QLJkS8fFwF5ORqL0iKULrJTW7OTFVnhpbWpvMl_pXCf2CDsp8ftZav5eERmC6-psKcDMVCeRN1HARnRttGLSUO1Ln5P3cpmhAVDIT_pgCl2JvyYski41EKkLTfXTzs8DfGwbc1qf4Bk-47hsgfjbDOyDt9ToBr6qEXWhusEtaaRjK5niidiKvJzM-3FOq27fi10ImZiIVSqQPjT0aZl3f0HYtvfyBrWcK9h3hVgA1w9b3OKr6UvxldzUgDVoAmPa3KNdMQt3LirVwI.ijEe8i5qAlU4dEMTo2hWjPSAX5tZLroSyWYdCs_AXaA&dib_tag=se&qid=1737644288&s=computers&sr=1-926&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,E7480,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1920 x 1080 pixels,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,E7480-i5-16-256-cr,Intel,Core i5-6260U,2.4 GHz,1,16 GB,DDR4,16 GB,256 GB,SSD,5400 RPM,Speakers,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,2,1,No Optical Drive,Battery Powered,Windows,Windows 10 Pro,No,"laptop, charger",China,1 kg 370 g,B09KH8LMXB,"3.8
77 ratings
3.8 out of 5 stars","#47,455 in Computers & Accessories (See Top 100 in Computers & Accessories)
#32 in Renewed Clearance Store
#1,396 in Traditional Laptops",27 October 2021,34 x 23.5 x 2 Centimeters,1.00 count,black,,1 Lithium Ion batteries required.,,50 Watt Hours,4,,,laptop,Intel HD Graphics 620,,,,,,,,30 Grams,,,,,,,,,,,,,,,,,,,,,
"TECNICO Diamond Desktop Computer, Core i7-3770 3.4 GHz, 16GB DDR3 RAM, 512GB SSD, GT 730 4GB Graphics, Windows 11","12,999",https://www.amazon.in/TECNICO-Diamond-Desktop-Computer-Graphics/dp/B0DT4Y2SF7/ref=sr_1_937?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-937&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,TECNICO,Tecnico Factory Mumbai 8424991992,tecnico i7 3 16 512 4gb,,15 Inches,10 Inches,,,,38.1 x 25.4 x 38.1 cm; 3.8 kg,tecnico i7 3 16 512 4gb,i7,Core i7 3770,3.4 GHz,,,DDR3,16 GB,512,SSD,6,,,4gb dedicated,72-Pin EDO SIMM Memory,256,PCI Express,,2,1,,,,Windows 11,,Speakers,India,3 kg 800 g,B0DT4Y2SF7,,"#43,680 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,277 in Traditional Laptops",15 January 2025,38.1 x 25.4 x 38.1 Centimeters,,Black,,,4,,,8424991992,,CPU,,,,,,,Serial ATA,,,,,,,,,,,,,,,,LGA 1155,,,,,,,
Acer Nitro 5 Gaming Laptop AMD Ryzen5-6600H- (Windows 11 Home/16 GB/ 1 TB SSD/NVIDIA GeForce RTX 3050 4 GB Graphics/165Hz)| AN515-46 with 39.6 Cm (15.6 Inch) IPS Display,"1,00,742",https://www.amazon.in/Acer-Ryzen5-6600H-Windows-Graphics-AN515-46/dp/B0BYYYCRWD/ref=sr_1_938?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-938&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Acer,Acer,Nitro,laptop,27 Millimeters,36 Centimeters,15.6 Inches,1280 x 720 pixel,2560 x 1440 Pixels,27.1 x 36 x 2.7 cm; 2.5 kg,AN515-46,AMD,Ryzen 5,3.3 GHz,1,16 GB,DDR5,32 GB,,SSD,,Speakers,NVIDIA,Dedicated,GDDR6,4 GB,AGP,Wi-Fi,,,,Battery Powered,,Windows 11 Home,Yes,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,2 kg 500 g,B0BYYYCRWD,"3.0
1 rating
3.0 out of 5 stars","#44,064 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,287 in Traditional Laptops",20 March 2023,27.1 x 36 x 2.7 Centimeters,1 Count,Black,,1 Lithium Ion batteries required. (included),1,57 Watt Hours,4,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",Laptop,NVIDIA GeForce RTX 3050,10 Volts,,10 Hours,DDR5 RAM,,Solid State,,66.8 Grams,,,,,,4,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop E7480 Intel Core i5 - 7300u Processor 7th Gen, 32 GB Ram & 2TB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.37KG) Notebook Computer","34,990",https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E7480/dp/B09WRKYF7T/ref=sr_1_939?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-939&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,E7480-cr,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1600x900,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,E7480-i5-32-2TB-cr,Intel,Core i5 Family,2.6 GHz,1,32 GB,DDR4,32 GB,2 TB,SSD,5400 RPM,Speakers,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,3,No Optical Drive,Battery Powered,Windows,Windows 10 Pro,,"Laptop, Charger",India,1 kg 370 g,B09WRKYF7T,"4.6
2 ratings
4.6 out of 5 stars","#43,853 in Computers & Accessories (See Top 100 in Computers & Accessories)
#63 in Best Offers from Renewed
#63 in Sankranti / Pongal Store
#76 in Christmas with Amazon Renewed",29 March 2022,34 x 23.5 x 2 Centimeters,1.00 count,black,,,,,,,,,intel,,,,DDR SDRAM,,,802.11n,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 5330, Intel Evo Platform Powered by Intel Core i7-1360P Processor/ 16GB LP DDR5/ 512GB SSD/13.3"" (33.78cm) QHD+ 16:10 Aspect Ratio/Backlit KB/ 15 Month McAfee/Platinum Silver/ 1.24kg","77,570",https://www.amazon.in/Dell-Inspiron-Platform-i7-1360P-Processor/dp/B0CBKVYKLS/ref=sr_1_940?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-940&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell India Pvt Ltd,Inspiron 5330,Laptop,42.4 Centimeters,6.7 Centimeters,13.3 Inches,2560 x 1440,,42.4 x 6.7 x 42.4 cm; 1.24 kg,IN5330K0RYY001ORS1,Intel,Core i7,5 GHz,1,16 GB,Lpddr 5,32 GB,,SSD,,Speakers,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,1,No Optical Drive,Battery Powered,Windows,Windows 11 Home,Yes,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 240 g,B0CBKVYKLS,"1.9
7 ratings
1.9 out of 5 stars","#53,457 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,599 in Traditional Laptops",10 July 2023,42.4 x 6.7 x 42.4 Centimeters,1 Count,Platinum Silver,,1 Lithium Ion batteries required. (included),,,4,Dell India Pvt Ltd,Dell India Pvt Ltd,Laptop,Integrated Graphics,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 5480 Intel Core i7 -7th Gen -Processor , 16 GB Ram & 2TB SSD, 14 Inches FHD 1080p Notebook Computer","36,500",https://www.amazon.in/Refurbished-Dell-Latitude-Processor-Notebook/dp/B0CZDHMKL8/ref=sr_1_941?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-941&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,5480-i7,Laptop,,,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,5480-i7-16-2TB-cr,Intel,Core i7-7600U,2.8 GHz,1,16,DDR4,16 GB,2 TB,SSD,,,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,3,No Optical Drive,,,Windows 10 Pro,No,"Laptop, Battery, Charger with Power Cable",China,1 kg 570 g,B0CZDHMKL8,"5.0
3 ratings
5.0 out of 5 stars","#48,858 in Computers & Accessories (See Top 100 in Computers & Accessories)
#166 in Renewed Store.
#1,443 in Traditional Laptops",29 March 2024,,1.00 count,,20 x 20 x 10 cm; 1.57 kg,,1,,,Renewed Seller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga Slim 6 12th Gen Intel Evo Core i5 1240P 14""(35.5cm) 2.2K 300Nit Laptop (16GB/512GB SSD/60Hz Refresh/Win 11/Office 21/Backlit KB/1Yr Warranty/Alexa/3 Month Game Pass/Grey/1.3Kg), 82WU0095IN","77,990",https://www.amazon.in/Lenovo-Refresh-Backlit-Warranty-82WU0095IN/dp/B0CM36VW4Q/ref=sr_1_942?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-942&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,Yoga Slim 6 14IAP8,Thin & Light,45.1 Centimeters,6.7 Centimeters,14 Inches,2240 x 2400 pixel,2240x1400 Pixels,45.1 x 6.7 x 45.1 cm; 1.35 kg,82WU0095IN,Intel,Intel Core i5,1.7 GHz,12,16 GB,Lpddr 5,16 GB,512 GB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,,Integrated,Wi-Fi,,1,No Optical Drive,,,Windows 11 Home,Yes,Laptop,India,1 kg 350 g,B0CM36VW4Q,"4.1
68 ratings
4.1 out of 5 stars","#38,218 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,092 in Traditional Laptops",30 October 2023,45.1 x 6.7 x 45.1 Centimeters,1 Piece,Storm Grey,,1 Lithium Polymer batteries required. (included),1,65 Watt Hours,4,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",Laptop,Intel Iris Xe Graphics,65 Volts,,8 Hours,DDR5 RAM,,PCIE x 4,,,"Stereo speakers, 2W x2, optimized with Dolby Atmos",,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.","16,990",https://www.amazon.in/Renewed-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0B69L4BL9/ref=sr_1_943?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-943&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,Lenovo Thinkpad L450-cr,Laptop,1 Inches,9 Inches,14 Inches,1366 x 768,HD (1366 X 768) Pixels,38.1 x 22.86 x 2.54 cm; 1.7 kg,Lenovo Thinkpad T460-cr,Intel,Intel Core i5,2.3 GHz,1,8 GB,DDR3L,8 GB,256 GB,SSD,5400 RPM,Headphones,Intel,Integrated,DDR3 SDRAM,8 GB,Integrated,"Bluetooth, Wi-Fi",,2,No Optical Drive,ac,Windows,Windows 11,Yes,"Laptop,Battery,Power Cord",China,1 kg 700 g,B0B69L4BL9,"3.5
252 ratings
3.5 out of 5 stars","#38,709 in Computers & Accessories (See Top 100 in Computers & Accessories)
#332 in Valentine's Day (Amazon Renewed)
#1,111 in Traditional Laptops",11 July 2022,38.1 x 22.9 x 2.5 Centimeters,1.00 count,black,,1 Lithium Ion batteries required. (included),,55 Watt Hours,4,,,Business Laptop,Intel HD Graphics 520,,,1.5 Hours,DDR3 SDRAM,,Solid State,,50 Grams,Integrated high quality speakers,1,,,,,1,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 7480 Intel Core i5 - 6300u Processor 6th Gen, 8 GB Ram & 256 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.48KG) Notebook Computer","18,299",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-Intel/dp/B0CDQ3TV3X/ref=sr_1_944?dib=eyJ2IjoiMSJ9.0082c3VQnxuU5lwwTxnjESLaw7nxY1q8KABHSsEOkafXUlij4HdcWjf70S3SXpRoHPtX3IRFwh4JFvcRuE2JdwZ2SCUAHjDymF0ro_V0F6dJq19W-BLiMJifrKTpKieFie7JuBQjwj0Oc0CipHPUr2sqdnMb7ZV1UT26GIGxk-p1vCVzjYsSotdRbaUtqwpXl2sGxUt16rMHfdi9BWnQ2ZYOzysl9W0Kkx9fMWInNxwlhEuuM9q1AyayHi9Vqh_1sSsq614qlC4DJSs16ARa2imLeVXJpnq5_euTQlcgN-h3yHV3SqaVUmsm5jXaCNkQIByHHtgB7iiMCwfa8P8dX5vEGHn-XNV7G4Vg05Ug4g8.j29jJX-4qy3TEKZ_jBL_rB8CizGKIqnumeEQHkAw440&dib_tag=se&qid=1737644762&s=computers&sr=1-944&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,7480,Laptop,2 Centimeters,23.5 Centimeters,14.1 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,34 x 23.5 x 2 cm; 1.48 kg,7480-i5-6-8-256,Intel,Core i5 6200U,2.4 GHz,1,8 GB,DDR4,8 GB,,SSD,5400 RPM,,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,,3,No Optical Drive,Battery Powered,Windows,Windows 10 Pro,No,Laptop&Charger,,1 kg 480 g,B0CDQ3TV3X,"3.3
31 ratings
3.3 out of 5 stars","#49,108 in Computers & Accessories (See Top 100 in Computers & Accessories)
#80 in Sankranti / Pongal Store
#84 in Renewed - Regional New Year
#94 in Christmas with Amazon Renewed",4 August 2023,34 x 23.5 x 2 Centimeters,1.00 count,black,,1 Lithium Ion batteries required.,,45 Watt Hours,1,,,,Intel HD Graphics 520,,,4 Hours,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,
